Temperature, Pressure, Humidity, Date and Time
30.67 deg C, 897.80 hPa, 36.11%, Mon Sep 21 22:45:21 2020
30.67 deg C, 897.80 hPa, 36.11%, Mon Sep 21 22:45:31 2020
Temperature, Pressure, Humidity, Date and Time
30.66 deg C, 897.79 hPa, 36.07%, Mon Sep 21 22:46:34 2020
30.66 deg C, 897.78 hPa, 36.05%, Mon Sep 21 22:46:44 2020
30.67 deg C, 897.78 hPa, 36.02%, Mon Sep 21 22:46:54 2020
30.68 deg C, 897.78 hPa, 36.01%, Mon Sep 21 22:47:04 2020
30.68 deg C, 897.78 hPa, 36.00%, Mon Sep 21 22:47:14 2020
30.69 deg C, 897.78 hPa, 36.00%, Mon Sep 21 22:47:24 2020
